,Emotion,Dialogue_ID
0,4,0
1,4,0
2,4,0
3,6,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,2,0
10,4,0
11,6,0
12,4,0
13,6,1
14,5,1
15,6,1
16,2,1
17,4,1
18,4,1
19,4,1
20,4,2
21,4,2
22,3,2
23,5,2
24,6,2
25,4,2
26,1,2
27,5,2
28,4,2
29,4,2
30,3,2
31,4,2
32,3,2
33,6,3
34,4,3
35,4,3
36,4,3
37,6,3
38,5,3
39,4,4
40,4,4
41,4,4
42,6,4
43,5,4
44,4,4
45,6,5
46,3,5
47,4,5
48,4,5
49,4,5
50,4,5
51,4,5
52,3,5
53,3,5
54,5,5
55,4,5
56,4,5
57,4,5
58,6,7
59,3,8
60,6,8
61,3,8
62,4,8
63,4,8
64,0,8
65,3,8
66,4,8
67,6,8
68,0,8
69,0,8
70,0,8
71,4,8
72,4,8
73,5,8
74,5,8
75,5,8
76,6,8
77,0,8
78,0,8
79,0,8
80,0,8
81,4,9
82,0,9
83,4,10
84,4,10
85,4,10
86,4,11
87,4,11
88,3,11
89,4,11
90,3,11
91,4,12
92,4,12
93,3,12
94,4,12
95,4,12
96,4,12
97,4,12
98,3,12
99,3,13
100,4,13
101,4,13
102,3,13
103,4,13
104,4,13
105,1,13
106,0,13
107,0,14
108,0,14
109,0,14
110,0,14
111,0,14
112,4,15
113,0,15
114,4,15
115,4,16
116,3,16
117,3,17
118,4,17
119,4,17
120,4,18
121,4,18
122,3,18
123,3,19
124,3,19
125,3,19
126,4,20
127,4,20
128,3,20
129,3,20
130,3,20
131,4,21
132,3,21
133,1,21
134,1,21
135,4,21
136,2,21
137,4,21
138,6,21
139,2,21
140,1,21
141,0,21
142,3,22
143,4,22
144,6,22
145,4,22
146,4,23
147,4,23
148,4,23
149,6,23
150,4,23
151,4,23
152,0,24
153,4,24
154,4,24
155,5,24
156,6,24
157,5,24
158,0,24
159,5,24
160,4,24
161,5,24
162,4,24
163,4,24
164,4,24
165,4,24
166,0,24
167,0,24
168,0,24
169,4,24
170,0,24
171,3,24
172,3,24
173,5,25
174,4,25
175,4,25
176,4,25
177,4,26
178,4,26
179,0,26
180,0,26
181,0,26
182,4,26
183,0,26
184,3,26
